author_first,city_code_max,city_code_min,city_code1
李平,3703.0,1100.0,True
李平华,3201.0,3201.0,False
李广乾,1100.0,1100.0,False
李广众,4401.0,4401.0,False
李广子,1100.0,1100.0,False
李庆海,3201.0,1100.0,True
李康,3100.0,3100.0,False
李延军,1200.0,1200.0,False
李建伟,1100.0,1100.0,False
李建军,5101.0,1100.0,True
李建国,6101.0,6101.0,False
李建平,3501.0,3501.0,False
李建建,3501.0,3501.0,False
李建德,3601.0,3601.0,False
李建标,1200.0,1200.0,False
李建英,3306.0,3306.0,False
李开斌,3506.0,3506.0,False
李强,5101.0,1200.0,True
李彬,1100.0,1100.0,False
李德,1100.0,1100.0,False
李德升,6101.0,6101.0,False
李德峰,1100.0,1100.0,False
李德水,1100.0,1100.0,False
李心丹,3201.0,3201.0,False
李志强,1100.0,1100.0,False
李志生,4201.0,4201.0,False
李志赟,1100.0,1100.0,False
李志辉,1200.0,1200.0,False
李志远,3100.0,3100.0,False
李念,3100.0,3100.0,False
李思飞,1100.0,1100.0,False
李慧,3100.0,3100.0,False
李慧中,3100.0,3100.0,False
李成,6101.0,1100.0,True
李扬,1100.0,1100.0,False
李拉亚,3505.0,3505.0,False
李拓,4301.0,4301.0,False
李振,1100.0,1100.0,False
李捷,1100.0,1100.0,False
李捷瑜,4401.0,4401.0,False
李敏波,1100.0,1100.0,False
李敬,5000.0,5000.0,False
李敬辉,1100.0,1100.0,False
李文佶,1100.0,1100.0,False
李文星,5101.0,4201.0,True
李文溥,3502.0,3502.0,False
李文群,1100.0,1100.0,False
李文艳,4401.0,4401.0,False
李文贵,3301.0,3301.0,False
李斌,3502.0,1100.0,True
李新,3100.0,1100.0,True
李新春,4401.0,4401.0,False
李新荣,1100.0,1100.0,False
李昊,1200.0,1200.0,False
李明,1100.0,1100.0,False
李明贤,4301.0,4301.0,False
李春吉,3201.0,3201.0,False
李春涛,1100.0,1100.0,False
李春顶,1100.0,1100.0,False
李昭华,4201.0,4201.0,False
李晓,2201.0,2201.0,False
李晓义,1200.0,1200.0,False
李晓宇,1100.0,1100.0,False
李晓峰,3502.0,3502.0,False
李晓林,1100.0,1100.0,False
李晓渝,5101.0,5101.0,False
李晓西,1100.0,1100.0,False
李曜,3100.0,3100.0,False
李月,1200.0,1200.0,False
李月平,1200.0,1200.0,False
李杏,3201.0,3201.0,False
李杰,4403.0,3301.0,True
李松国,1100.0,1100.0,False
李林木,3201.0,3201.0,False
李栋文,3502.0,3502.0,False
李树,5000.0,5000.0,False
李树培,1200.0,1200.0,False
李树林,2301.0,2301.0,False
李桂琴,3201.0,3201.0,False
