,author_first,unit_city_code,unitnum,unitdiff
26686,梁婧,1100.0,4,北京大学;国家图书馆;北京电影学院;铁道部;
26687,梁媛,1100.0,4,北京大学;北京理工大学;北京师范大学;中国电影艺术研究中心;
26688,梁媛,4301.0,3,湖南大学;湖南省文化产业研究基地特色文化产业研究中心;长沙市委党校;
26689,梁孝,1100.0,2,中国人民大学;中国社会科学院;
26690,梁宇,1100.0,5,中国地质大学;北京舞蹈学院;北京大学;中国美协;高等教育出版社;
26691,梁宏,1100.0,4,中国地质大学;中国气象局;中国气象科学研究院;中国人民大学;
26692,梁宏,2301.0,3,哈尔滨工业大学;哈尔滨工程大学;哈尔滨工业大大学;
26693,梁宏,4201.0,2,武汉大学;华中科技大学;
26694,梁宗保,1100.0,2,北京师范大学;教育部;
26695,梁宗华,3701.0,2,山东师范大学;山东社会科学院;
26696,梁家荣,3100.0,2,复旦大学;同济大学;
26697,梁小建,1100.0,2,北京印刷学院;中国传媒大学;
26698,梁小珍,1100.0,2,北京航空航天大学;北京化工大学;
26699,梁小红,3501.0,2,福建商业专科学校;福建商学院;
26700,梁山,1100.0,3,中国人民银行;北京师范大学;中央电视台;
26701,梁峰,1100.0,4,中央财经大学;中国人民大学;高等教育出版社;清华大学;
26702,梁平,1100.0,2,华北电力大学;国家广电总局;
26703,梁平,4212.0,3,湖北科技学院;咸宁医学院;湖北咸宁医学院;
26704,梁平,5000.0,3,重庆大学;长江师范学院;重庆市长江师范学院;
26705,梁平,6101.0,2,陕西师范大学;陕西职业技术学院;
26706,梁建,3100.0,2,上海交通大学;华东理工大学;
26707,梁建军,1401.0,2,太原师范学院;山西省科学技术情报研究所;
26708,梁建华,1100.0,2,中国人民银行;国家外汇管理局;
26709,梁建华,4401.0,3,广发银行;中山大学;南方日报;
26710,梁建国,1100.0,4,中国社会科学院;北京大学;北京联合大学;中国民主建国会;
26711,梁建平,5000.0,3,重庆师范大学;西南大学;重庆邮电大学;
26712,梁强,1100.0,4,中国科学院;中国社会科学院;北京师范大学;财政部;
26713,梁强,2102.0,2,大连民族大学;东北财经大学;
26714,梁彦,1100.0,2,建设银行;国家发展和改革委员会;
26715,梁彦民,6101.0,2,陕西历史博物馆;陕西师范大学;
26716,梁德阔,3100.0,4,上海政法学院;复旦大学;上海商学院;上海大学;
26717,梁志坚,3503.0,2,莆田学院;莆田高等专科学校;
26718,梁志峰,4301.0,2,中南大学;湖南省人民政府;
26719,梁忠,3100.0,2,上海师范大学;复旦大学;
26720,梁成意,4201.0,2,中南财经政法大学;武汉大学;
26721,梁振华,1100.0,3,工商银行;北京师范大学;中国农业大学;
26722,梁敬东,1100.0,2,中国社会科学院;中国人民大学;
26723,梁文,1100.0,3,北京大学;中国青年出版社;清华大学;
26724,梁文宾,1100.0,2,中国社会科学院;中国科学院;
26725,梁斌,1100.0,2,北京大学;首都体育学院;
26726,梁斌,5000.0,2,重庆工商大学;重庆市合川区委宣传部;
26727,梁新华,3100.0,2,上海社会科学院;上海市社会科学创新研究基地;
