author_first,city_code1,ym1,coauthor1,class_num1,mag_classn1,city_code2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
张杰,1100.0,2015-10-01;2016-05-01;2017-03-01;2016-01-01;2014-10-01;2013-10-01;2011-03-01;2011-08-01;2010-08-01;2006-06-01;2004-06-01;2003-01-01;2017-08-01;2017-02-01;2015-12-01;2013-12-01;2013-04-01;2011-04-01;2011-12-01;2010-10-01;2017-02-01;2016-04-01;2015-04-01;2011-01-01;2010-07-01;2017-10-01;, 陈志远; 杨连星; 新夫; 杨连星; 新夫; 郑文平; 郑文平; 翟福昕; 陈志远; 刘元春; 周晓艳; 李勇; 张培丽; 黄泰岩; 郑文平; 翟福昕; 郑文平; 陈志远; 李克; 刘志彪; 李勇; 刘志彪; 郑文平; 新夫;,F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;B;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,3201.0,2007-06-01;, 张少军; 刘志彪;,F;,经济与管理;,2,1,1,1
张杰,1100.0,2015-10-01;2016-05-01;2017-03-01;2016-01-01;2014-10-01;2013-10-01;2011-03-01;2011-08-01;2010-08-01;2006-06-01;2004-06-01;2003-01-01;2017-08-01;2017-02-01;2015-12-01;2013-12-01;2013-04-01;2011-04-01;2011-12-01;2010-10-01;2017-02-01;2016-04-01;2015-04-01;2011-01-01;2010-07-01;2017-10-01;, 陈志远; 杨连星; 新夫; 杨连星; 新夫; 郑文平; 郑文平; 翟福昕; 陈志远; 刘元春; 周晓艳; 李勇; 张培丽; 黄泰岩; 郑文平; 翟福昕; 郑文平; 陈志远; 李克; 刘志彪; 李勇; 刘志彪; 郑文平; 新夫;,F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;B;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,6101.0,2001-03-01;,,F;,经济与管理;,1,1,1,0
张杰,3201.0,2007-06-01;, 张少军; 刘志彪;,F;,经济与管理;,6101.0,2001-03-01;,,F;,经济与管理;,1,1,1,0
张波,3100.0,2011-11-01;,,D;F;,经济与管理;,1200.0,2002-02-01;,,F;,经济与管理;,1,1,1,0
张波,3100.0,2011-11-01;,,D;F;,经济与管理;,4403.0,2008-05-01;,,F;,经济与管理;,1,1,1,0
张波,1200.0,2002-02-01;,,F;,经济与管理;,4403.0,2008-05-01;,,F;,经济与管理;,1,1,1,0
张海洋,1100.0,2016-10-01;,,F;F;,经济与管理;,3301.0,2017-09-01;2011-01-01;2010-04-01;, 金则杨; 史晋川;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,2,1,1,0
张琦,4201.0,2015-06-01;2016-05-01;, 吕敏康; 步丹璐; 郁智;,F;F;F;,经济与管理;经济与管理;,1200.0,2003-12-01;,,F;,经济与管理;,1,1,1,0
张红,4401.0,2017-12-01;, 周黎安; 梁建章;,F;,经济与管理;,1100.0,2016-04-01;2016-04-01;, 周黎安; 梁建章; 周黎安; 徐晋涛; 赵锦勇;,F;F;,经济与管理;经济与管理;,1,1,1,2
张羽,1100.0,2010-08-01;, 李黎;,F;,经济与管理;,2102.0,2005-05-01;, 李黎;,F;,经济与管理;,1,1,1,1
