author_first,unit_city_code,ym,city_unitn,city_units,class_num,mag_classn,coauthor,author_first,unit_city_code,class_num_num,mag_classn_num
孙楚仁,3100.0,2014-10-01;,1,上海对外经贸大学;;,F;,经济与管理;, 王松; 赵瑞丽;,孙楚仁,3100.0,1,1
孙涛,3701.0,2010-12-01;,1,山东大学;;,F;F;,经济与管理;, 黄少安;,孙涛,3701.0,1,1
孙涛,1100.0,2007-07-01;,1,中国人民银行;;,F;,经济与管理;, 张晓晶;,孙涛,1100.0,1,1
孙红梅,3100.0,2013-07-01;,1,上海师范大学;;,F;F;F;,经济与管理;, 王雪;,孙红梅,3100.0,1,1
孙红梅,5000.0,2017-05-01;,1,重庆大学;;,F;,经济与管理;, 宋宗宇;,孙红梅,5000.0,1,1
孙茂辉,3100.0,2006-11-01;,1,上海师范大学;;,F;,经济与管理;,nan,孙茂辉,3100.0,1,1
孙茂辉,4401.0,2001-08-01;,1,中山大学;;,F;,经济与管理;,nan,孙茂辉,4401.0,1,1
孟庆斌,1100.0,2015-03-01;2017-12-01;,1,中国人民大学;;,F;F;F;,经济与管理;经济与管理;, 吴卫星; 于上尧; 杨俊华; 鲁冰;,孟庆斌,1100.0,1,1
孟庆斌,1200.0,2008-08-01;,1,南开大学;;,F;F;,经济与管理;, 周爱民; 靳晓婷;,孟庆斌,1200.0,1,1
宋凌云,4401.0,2012-10-01;,1,中山大学;;,F;F;,经济与管理;, 王贤彬; 徐现祥;,宋凌云,4401.0,1,1
宋凌云,4503.0,2016-12-01;,1,广西师范大学;;,F;,经济与管理;, 王贤彬;,宋凌云,4503.0,1,1
尹振东,1100.0,2016-04-01;,1,中央财经大学;;,F;,经济与管理;, 汤玉刚;,尹振东,1100.0,1,1
尹振东,3701.0,2011-04-01;,1,山东大学;;,D;,经济与管理;,nan,尹振东,3701.0,1,1
巫强,1100.0,2017-08-01;,1,对外经济贸易大学;;,F;,经济与管理;, 周波;,巫强,1100.0,1,1
巫强,3201.0,2009-06-01;,1,南京大学;;,F;F;,经济与管理;, 刘志彪;,巫强,3201.0,1,1
巴曙松,1100.0,2012-06-01;,1,国务院;;,F;,经济与管理;, 韦勇凤; 孙兴亮;,巴曙松,1100.0,1,1
巴曙松,3401.0,2009-06-01;,1,中国科学技术大学;;,F;F;F;,经济与管理;, 严敏;,巴曙松,3401.0,1,1
张东刚,1100.0,2002-12-01;,1,中国社会历史研究中心;;,F;,经济与管理;,nan,张东刚,1100.0,1,1
张东刚,1200.0,2001-06-01;,1,南开大学;;,F;,经济与管理;,nan,张东刚,1200.0,1,1
张云,1200.0,2017-10-01;,1,南开大学;;,F;F;,经济与管理;, 刘帅光; 李双建;,张云,1200.0,1,1
张云,1100.0,2015-07-01;,1,中国农业银行;;,F;F;,经济与管理;,nan,张云,1100.0,1,1
张伟,5201.0,2011-10-01;2013-10-01;,2,贵州大学;;贵州财经大学;;,F;F;F;X;,经济与管理;经济与管理;, 吴文元; 朱启贵; 李汉文;,张伟,5201.0,2,1
张伟,3701.0,2017-03-01;,1,山东大学;;,F;,经济与管理;, 于良春;,张伟,3701.0,1,1
张伟,3201.0,2016-12-01;,1,南京航空航天大学;;,F;F;F;,经济与管理;, 朱启贵; 高辉;,张伟,3201.0,1,1
张伟,1100.0,2004-07-01;,1,中国人民银行;;,F;,经济与管理;,nan,张伟,1100.0,1,1
张兵,1200.0,2011-09-01;2015-06-01;2012-08-01;,1,南开大学;;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;, 李翠莲;,张兵,1200.0,1,1
