author_first,author_unit_first,unit_city_code,city_unitn,city_units,class_num,class_num_num,coauthor,mag_classn,mag_classn_num,ym,author_first0
张云,中国农业银行;,1100.0,1.0,中国农业银行;,F;F;,1,,经济与管理;,1,2015-07-01;,张云
张云,南开大学;,1200.0,1.0,南开大学;,F;F;,1, 刘帅光; 李双建;,经济与管理;,1,2017-10-01;,张云
张伟,南京航空航天大学;,3201.0,1.0,南京航空航天大学;,F;F;F;,1, 朱启贵; 高辉;,经济与管理;,1,2016-12-01;,张伟
张伟,中国人民银行;,1100.0,1.0,中国人民银行;,F;,1,,经济与管理;,1,2004-07-01;,张伟
张伟,,5201.0,2.0,贵州财经大学;贵州大学;;,F;X;F;F;,2, 朱启贵; 李汉文; 吴文元;,经济与管理;经济与管理;,1,2013-10-01;2011-10-01;,张伟
张伟,山东大学;,3701.0,1.0,山东大学;,F;,1, 于良春;,经济与管理;,1,2017-03-01;,张伟
张兵,南开大学;,1200.0,1.0,南开大学;,F;F;F;F;F;,1, 李翠莲;,经济与管理;经济与管理;经济与管理;,1,2011-09-01;2015-06-01;2012-08-01;,张兵
张兵,,3201.0,2.0,南京大学;南京农业大学;;,F;F;F;F;F;F;F;F;F;,1, 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹; 李丹; 孟德峰;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,2010-11-01;2008-09-01;2003-01-01;2017-10-01;2015-01-01;,张兵
张勇,东北财经大学;,2102.0,1.0,东北财经大学;,F;F;F;,1,,经济与管理;,1,2017-04-01;,张勇
张勇,华南师范大学;,4401.0,1.0,华南师范大学;,F;F;,1,,经济与管理;,1,2008-02-01;,张勇
张勇,,1100.0,2.0,北京大学;中国人民大学;;,F;F;F;F;F;,1, 李政军; 龚六堂; 王玺; 古明明;,经济与管理;经济与管理;,1,2014-10-01;2009-05-01;,张勇
张勇,南京师范大学;,3201.0,1.0,南京师范大学;,F;,1,,经济与管理;,1,2015-07-01;,张勇
张卫国,,3701.0,2.0,山东社会科学院;山东大学;;,F;D;H;,3, 任燕燕; 花小安;;,经济与管理;经济与管理;,1,2011-08-01;2008-02-01;,张卫国
张卫国,,5000.0,2.0,重庆大学;西南大学;;,F;F;F;F;F;F;,1, 梁小翠; 陆静; 罗超平; 李海明;,经济与管理;经济与管理;,1,2011-07-01;2015-08-01;,张卫国
张卫平,复旦大学;,3100.0,1.0,复旦大学;,F;F;,1, 李天栋;,经济与管理;,1,2012-04-01;,张卫平
张卫平,北京大学;,1100.0,1.0,北京大学;,F;F;,1,,经济与管理;,1,2007-07-01;,张卫平
张同龙,华南农业大学;,4401.0,1.0,华南农业大学;,D;,1, 张林秀;,经济与管理;,1,2017-01-01;,张同龙
张同龙,天津师范大学;,1200.0,1.0,天津师范大学;,F;,1,,经济与管理;,1,2008-01-01;,张同龙
张宁,清华大学;,1100.0,1.0,清华大学;,F;,1, 胡鞍钢; 郑京海;,经济与管理;,1,2006-07-01;,张宁
张宁,中山大学;,4401.0,1.0,中山大学;,F;F;,1,,经济与管理;,1,2005-06-01;,张宁
张宇,中国人民大学;,1100.0,1.0,中国人民大学;,F;F;F;,1,,经济与管理;经济与管理;,1,2017-05-01;2016-06-01;,张宇
张宇,南开大学;,1200.0,1.0,南开大学;,F;F;F;F;F;F;F;F;F;,1, 蒋殿春;,经济与管理;经济与管理;经济与管理;,1,2014-04-01;2010-07-01;2013-06-01;,张宇
张峰,中国特色社会主义经济建设协同创新中心;,1100.0,1.0,中国特色社会主义经济建设协同创新中心;,D;,1, 黄玖立; 禹航;,经济与管理;,1,2017-04-01;,张峰
