author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
沈国兵,浙江大学;,3301.0,2002-06-01;,,F;,经济与管理;,1,1,,,1,浙江大学;
沈悦,清华大学;,1100.0,2004-06-01;, 刘洪玉;,F;,经济与管理;,1,1,,,1,清华大学;
沈悦,西南财经大学;,5101.0,2012-05-01;, 储巍;,F;F;F;,经济与管理;,1,1,,,1,西南财经大学;
沈悦,西安交通大学;,6101.0,2013-03-01;2007-10-01;, 谢坤锋; 谢勇; 田嫄;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,西安交通大学;
沈沛龙,北京航空航天大学;,1100.0,2002-06-01;2001-02-01;, 任若恩; 任若恩;,F;F;,经济与管理;经济与管理;,1,1,,,1,北京航空航天大学;
沈沛龙,山西财经大学;,1401.0,2012-02-01;2013-08-01;, 樊欢; 王晓婷;,F;F;F;,经济与管理;经济与管理;,1,1,,,1,山西财经大学;
潘珊,北京大学;,1100.0,2015-09-01;, 龚六堂;,F;,经济与管理;,1,1,,,1,北京大学;
潘珊,暨南大学;,4401.0,2016-10-01;, 龚六堂; 李尚骜;,F;F;,经济与管理;,1,1,,,1,暨南大学;
燕志雄,上海交通大学;,3100.0,2007-02-01;2007-10-01;, 费方域; 费方域;,F;F;F;,经济与管理;经济与管理;,1,1,,,1,上海交通大学;
燕志雄,暨南大学;,4401.0,2016-09-01;, 张敬卫; 费方域;,F;F;,经济与管理;,1,1,,,1,暨南大学;
王伟光,中国社会科学院;,1100.0,2016-03-01;2010-12-01;, 陈锡文; 李扬; 刘世锦; 刘诗白; 刘伟; 蔡昉; 白钦先; 李稻葵;,F;F;,经济与管理;经济与管理;,1,1,,,1,中国社会科学院;
王伟光,辽宁大学;,2101.0,2015-06-01;, 冯荣凯; 尹博;,F;,经济与管理;,1,1,,,1,辽宁大学;
王俊,中央财经大学;,1100.0,2012-01-01;2008-07-01;2007-12-01;2007-04-01;, 龚强; 王威; 昌忠泽; 刘宏; 昌忠泽; 昌忠泽;,D;F;R;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,3,1,,,1,中央财经大学;
王俊,安徽财经大学;,3403.0,2010-09-01;, 王刚贞;,F;F;,经济与管理;,1,1,,,1,安徽财经大学;
王倩,南开大学;,1200.0,2012-05-01;, 李颖华;,F;,经济与管理;,1,1,,,1,南开大学;
王倩,山东财经大学;,3701.0,2016-05-01;, 马云霄;,F;F;,经济与管理;,1,1,,,1,山东财经大学;
王兰芳,上海财经大学;,3100.0,2010-10-01;, 王苏生;,F;F;,经济与管理;,1,1,,,1,上海财经大学;
王兰芳,南开大学;,1200.0,2001-06-01;,,F;,经济与管理;,1,1,,,1,南开大学;
王勇,北京大学;,1100.0,2003-02-01;2002-04-01;,,F;G;,经济与管理;经济与管理;,2,1,,,1,北京大学;
王勇,浙江万里学院;,3302.0,2005-01-01;2003-12-01;, 袁葵芳;,F;F;,经济与管理;经济与管理;,1,1,,,1,浙江万里学院;
王博,南开大学;,1200.0,2013-05-01;2013-03-01;2012-06-01;, 郭廓; 马君潞; 刘永余; 刘澜飚;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,南开大学;
王博,西南财经大学;,5101.0,2017-04-01;, 张晓玫; 卢露;,F;F;,经济与管理;,1,1,,,1,西南财经大学;
王向楠,北京大学;,1100.0,2012-08-01;, 徐舒;,F;F;,经济与管理;,1,1,,,1,北京大学;
王向楠,西南财经大学;,5101.0,2011-10-01;,,F;F;,经济与管理;,1,1,,,1,西南财经大学;
王国静,上海财经大学;,3100.0,2014-03-01;, 田国强;,F;F;,经济与管理;,1,1,,,1,上海财经大学;
王国静,华安证券;,3506.0,2014-09-01;, 田国强;,F;F;,经济与管理;,1,1,,,1,华安证券;
王宇,中国人民银行;,1100.0,2015-04-01;, 李宏瑾;,F;F;,经济与管理;,1,1,,,1,中国人民银行;
王宇,内蒙古大学;,1501.0,2014-10-01;, 郭新强; 干春晖;,F;F;,经济与管理;,1,1,,,1,内蒙古大学;
王小龙,西北大学;,6101.0,2002-01-01;2002-04-01;, 李斌;,F;F;F;,经济与管理;经济与管理;,1,1,,,1,西北大学;
王平,四川大学;,5101.0,2009-06-01;, 邹易; 唐柳;,F;,经济与管理;,1,1,,,1,四川大学;
王平,对外经济贸易大学;,1100.0,2012-05-01;, 肖军;,F;F;,经济与管理;,1,1,,,1,对外经济贸易大学;
王弟海,北京大学;,1100.0,2006-04-01;, 龚六堂;,F;F;,经济与管理;,1,1,,,1,北京大学;
王弟海,复旦大学;,3100.0,2016-08-01;2012-06-01;2008-01-01;, 黄亮; 李宏毅; 龚六堂;,R;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,2,1,,,1,复旦大学;
王晓,中央财经大学;,1100.0,2010-01-01;, 李佳;,F;,经济与管理;,1,1,,,1,中央财经大学;
王晓,山东财经大学;,3701.0,2012-04-01;,,F;,经济与管理;,1,1,,,1,山东财经大学;
王欢,山东大学;,3701.0,2014-08-01;, 郭建强;,F;F;,经济与管理;,1,1,,,1,山东大学;
王欢,陕西师范大学;,6101.0,2017-04-01;, 史耀疆; 王爱琴; 罗朴尚; 罗思高; 诸彦杰;,G;G;,经济与管理;,1,1,,,1,陕西师范大学;
王永进,南开大学;,1200.0,2016-07-01;2014-04-01;2012-07-01;, 张国峰; 施炳展; 盛丹;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,南开大学;
王永进,厦门大学;,3502.0,2010-07-01;, 盛丹; 施炳展; 李坤望;,F;F;,经济与管理;,1,1,,,1,厦门大学;
王海港,中山大学;,4401.0,2007-08-01;, 李实; 刘京军;,G;,经济与管理;,1,1,,,1,中山大学;
王爱俭,中国滨海金融协同创新中心;,3209.0,2014-04-01;2017-10-01;, 王璟怡; 杜强;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,中国滨海金融协同创新中心;
王爱俭,天津财经大学;,1200.0,2007-10-01;2007-02-01;, 林楠; 温博慧;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,天津财经大学;
王玲玲,云南财经大学;,5301.0,2015-02-01;, 尹晓冰;,F;F;,经济与管理;,1,1,,,1,云南财经大学;
王玲玲,华中科技大学;,4201.0,2012-06-01;, 王宗军; 毛磊;,F;F;,经济与管理;,1,1,,,1,华中科技大学;
王珏,东北财经大学;,2102.0,2012-01-01;,,F;F;,经济与管理;,1,1,,,1,东北财经大学;
王珏,中国人民大学;,1100.0,2004-02-01;, 饶晓鹏;,F;,经济与管理;,1,1,,,1,中国人民大学;
王璐,南京师范大学;,3201.0,2014-11-01;, 童中文;,F;F;,经济与管理;,1,1,,,1,南京师范大学;
王璐,南开大学;,1200.0,2008-06-01;, 柳欣;,F;,经济与管理;,1,1,,,1,南开大学;
王璐,西南财经大学;,5101.0,2008-04-01;, 庞皓;,F;F;,经济与管理;,1,1,,,1,西南财经大学;
王艳,南开大学;,1200.0,2002-06-01;,,F;,经济与管理;,1,1,,,1,南开大学;
王艳,广东财经大学;,4401.0,2017-12-01;, 李善民;,F;,经济与管理;,1,1,,,1,广东财经大学;
王苍峰,上海财经大学;,3100.0,2007-08-01;,,F;,经济与管理;,1,1,,,1,上海财经大学;
王苍峰,山东财经大学;,3701.0,2011-12-01;, 司传宁;,F;F;F;,经济与管理;,1,1,,,1,山东财经大学;
王锋,中国矿业大学;,3203.0,2017-09-01;, 李紧想; 张芳; 吴艳杰;,F;F;,经济与管理;,1,1,,,1,中国矿业大学;
王锋,厦门大学;,3502.0,2010-02-01;, 吴丽华; 杨超;,X;,经济与管理;,1,1,,,1,厦门大学;
王锋,西安交通大学;,6101.0,2013-08-01;, 冯根福; 吴丽华;,X;F;,经济与管理;,2,1,,,1,西安交通大学;
王静,南开大学;,1200.0,2016-04-01;, 张卓; 武舜臣;,F;,经济与管理;,1,1,,,1,南开大学;
王静,河南大学;,4102.0,2017-02-01;, 庄鹏睿; 罗良清;,F;,经济与管理;,1,1,,,1,河南大学;
王静,浙江大学;,3301.0,2002-11-01;,,F;,经济与管理;,1,1,,,1,浙江大学;
王鹏,山西财经大学;,1401.0,2002-08-01;,,F;,经济与管理;,1,1,,,1,山西财经大学;
王鹏,西南财经大学;,5101.0,2014-12-01;, 付延平; 李文贺;,F;,经济与管理;,1,1,,,1,西南财经大学;
田利辉,北京大学;,1100.0,2005-10-01;2005-10-01;2004-10-01;,,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,北京大学;
田利辉,南开大学;,1200.0,2017-11-01;2014-01-01;2013-04-01;2013-11-01;2015-04-01;2014-04-01;, 王可第; 张伟; 谭德凯; 王冠英;,F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,1,南开大学;
田青,东北财经大学;,2102.0,2009-10-01;, 高铁梅;,F;F;,经济与管理;,1,1,,,1,东北财经大学;
田青,中央财经大学;,1100.0,2017-01-01;,,F;,经济与管理;,1,1,,,1,中央财经大学;
白钦先,中山大学;,4401.0,2001-04-01;, 薛誉华;,F;,经济与管理;,1,1,,,1,中山大学;
白钦先,辽宁大学;,2101.0,2011-10-01;2017-04-01;2005-06-01;, 张志文; 张坤; 常海中;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,辽宁大学;
皮建才,北京大学;,1100.0,2008-03-01;2007-05-01;2007-01-01;2006-10-01;2007-08-01;,,F;F;F;C;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,北京大学;
皮建才,南京大学;,3201.0,2014-10-01;2012-10-01;2011-02-01;, 殷军; 周愚;,D;D;F;,经济与管理;经济与管理;经济与管理;,2,1,,,1,南京大学;
程令国,上海财经大学;,3100.0,2016-01-01;2014-10-01;, 张晔; 刘志彪; 张晔; 沈可;,D;F;G;,经济与管理;经济与管理;,3,1,,,1,上海财经大学;
程令国,北京大学;,1100.0,2012-01-01;2011-08-01;, 张晔; 张晔;,R;F;,经济与管理;经济与管理;,2,1,,,1,北京大学;
程令国,南京大学;,3201.0,2013-08-01;, 张晔; 刘志彪;,F;F;,经济与管理;,1,1,,,1,南京大学;
程培堽,厦门大学;,3502.0,2003-06-01;,,F;,经济与管理;,1,1,,,1,厦门大学;
程培堽,苏州农业职业技术学院;,3205.0,2009-07-01;, 周应恒; 殷志扬;,F;F;,经济与管理;,1,1,,,1,苏州农业职业技术学院;
简泽,同济大学;,3100.0,2013-05-01;2014-08-01;, 干春晖; 余典范; 张涛; 伏玉林;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,同济大学;
简泽,江西财经大学;,3601.0,2017-05-01;, 谭利萍; 吕大国; 符通;,F;F;,经济与管理;,1,1,,,1,江西财经大学;
管七海,北京大学;,1100.0,2005-08-01;2005-04-01;,,F;F;,经济与管理;经济与管理;,1,1,,,1,北京大学;
管七海,招商银行;,4403.0,2006-01-01;,,F;,经济与管理;,1,1,,,1,招商银行;
胡洁,华东师范大学;,3100.0,2014-08-01;, 陈彦煌;,F;,经济与管理;,1,1,,,1,华东师范大学;
胡洁,西安交通大学;,6101.0,2010-08-01;, 陈彦煌;,F;F;F;,经济与管理;,1,1,,,1,西安交通大学;
范子英,华中科技大学;,4201.0,2014-06-01;2013-09-01;2013-01-01;, 李欣; 田彬彬; 石慧;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,华中科技大学;
范子英,南京农业大学;,3201.0,2006-08-01;2007-01-01;, 孟令杰; 孟令杰;,F;F;F;,经济与管理;经济与管理;,1,1,,,1,南京农业大学;
葛兆强,中国社会科学院;,1100.0,2006-02-01;2005-05-01;,,F;F;,经济与管理;经济与管理;,1,1,,,1,中国社会科学院;
葛兆强,招商银行;,4403.0,2009-08-01;2002-11-01;2001-10-01;,,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,招商银行;
董保民,厦门大学;,3502.0,2003-10-01;,,D;,经济与管理;,1,1,,,1,厦门大学;
董保民,对外经济贸易大学;,1100.0,2006-07-01;, 郭桂霞;,F;F;,经济与管理;,1,1,,,1,对外经济贸易大学;
蒙英华,厦门大学;,3502.0,2008-02-01;, 黄建忠;,F;F;F;,经济与管理;,1,1,,,1,厦门大学;
蒲成毅,南开大学;,1200.0,2005-02-01;,,F;,经济与管理;,1,1,,,1,南开大学;
蒲成毅,西南民族大学;,5101.0,2012-12-01;, 潘小军;,F;F;F;,经济与管理;,1,1,,,1,西南民族大学;
蔡宁,北京大学;,1100.0,2017-02-01;, 刘勇;,F;,经济与管理;,1,1,,,1,北京大学;
蔡宁,浙江大学;,3301.0,2017-03-01;, 贺锦江; 王节祥;,F;F;F;,经济与管理;,1,1,,,1,浙江大学;
蔡昱,云南财经大学;,5301.0,2016-02-01;2014-12-01;, 龚刚; 龚刚;,C;A;,经济与管理;经济与管理;,2,1,,,1,云南财经大学;
蔡昱,天津医科大学;,1200.0,2013-02-01;2008-04-01;, 龚刚; 张前程; 龚刚;,R;D;,经济与管理;经济与管理;,2,1,,,1,天津医科大学;
薛白,东兴证券;,4506.0,2011-12-01;,,F;F;,经济与管理;,1,1,,,1,东兴证券;
薛白,中信银行;,1100.0,2014-12-01;,,F;F;,经济与管理;,1,1,,,1,中信银行;
许伟,广西大学;,4501.0,2008-06-01;, 曾屹; 陈兴海;,F;,经济与管理;,1,1,,,1,广西大学;
许年行,中国人民大学;,1100.0,2016-12-01;2012-07-01;2011-04-01;2013-01-01;, 李哲; 江轩宇; 伊志宏; 徐信忠; 洪涛; 吴世农; 徐信忠; 江轩宇; 伊志宏; 袁清波;,C;F;F;F;F;F;D;D;,经济与管理;经济与管理;经济与管理;经济与管理;,3,1,,,1,中国人民大学;
许年行,厦门大学;,3502.0,2007-01-01;2006-04-01;, 吴世农; 吴世农;,F;F;F;,经济与管理;经济与管理;,1,1,,,1,厦门大学;
许承明,南京财经大学;,3201.0,2005-03-01;, 宋海林;,F;,经济与管理;,1,1,,,1,南京财经大学;
许承明,复旦大学;,3100.0,2001-08-01;,,F;,经济与管理;,1,1,,,1,复旦大学;
谢刚,中国人民大学;,1100.0,2009-01-01;, 李勇;,F;,经济与管理;,1,1,,,1,中国人民大学;
谢刚,西南交通大学;,5101.0,2011-06-01;, 侯景亮; 贾建民;,F;,经济与管理;,1,1,,,1,西南交通大学;
谢康,上海社会科学院;,3100.0,2002-02-01;,,F;,经济与管理;,1,1,,,1,上海社会科学院;
谢康,中山大学;,4401.0,2017-08-01;2016-02-01;2016-04-01;2012-01-01;2001-05-01;, 刘意; 肖静华; 刘亚平; 吴瑶; 肖静华; 廖雪华; 赖金天; 肖静华; 乌家培; 肖静华; 周先波; 乌家培;,D;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,中山大学;
谢建国,南京大学;,3201.0,2007-06-01;2014-07-01;2006-07-01;2010-12-01;2005-12-01;, 姜珮珊; 张悦; 徐华;,F;F;F;F;F;F;G;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,南京大学;
谢建国,南开大学;,1200.0,2004-04-01;,,F;,经济与管理;,1,1,,,1,南开大学;
谭之博,北京大学;,1100.0,2012-12-01;, 赵岳;,F;F;,经济与管理;,1,1,,,1,北京大学;
谭之博,复旦大学;,3100.0,2016-02-01;2015-04-01;, 张晓波; 周黎安; 赵岳;,C;R;D;F;,经济与管理;经济与管理;,4,1,,,1,复旦大学;
谭旭东,中国社会科学院;,1100.0,2004-12-01;,,F;,经济与管理;,1,1,,,1,中国社会科学院;
谭旭东,厦门大学;,3502.0,2008-09-01;2007-02-01;,,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,厦门大学;
贺京同,南开大学;,1200.0,2014-07-01;2011-12-01;2007-06-01;2004-04-01;2002-12-01;, 那艺; 郝身永; 冯尧; 徐璐; 李峰; 霍焰; 李大勇;,C;C;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,南开大学;
贺京同,山东大学;,3701.0,2013-12-01;, 郝身永;,F;,经济与管理;,1,1,,,1,山东大学;
贾良定,北京大学;,1100.0,2002-04-01;,,F;F;,经济与管理;,1,1,,,1,北京大学;
贾良定,南京大学;,3201.0,2001-03-01;, 陈秋霖;,F;,经济与管理;,1,1,,,1,南京大学;
赵文军,南京大学;,3201.0,2008-12-01;2009-08-01;, 于津平; 于津平;,F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,南京大学;
赵文军,深圳大学;,4403.0,2012-08-01;2014-06-01;, 于津平; 于津平;,F;F;F;F;F;F;F;,经济与管理;经济与管理;,1,1,,,1,深圳大学;
