city_code,city_name,pro_code,pro_name,city_lat,city_long
4602,三亚市,46,海南省,18.2545,109.5078
5000,重庆市,50,重庆市,29.563,106.5516
5101,成都市,51,四川省,30.661,104.0624
5103,自贡市,51,四川省,29.339,104.7784
5104,攀枝花市,51,四川省,26.5823,101.7186
5105,泸州市,51,四川省,28.8748,105.4387
5106,德阳市,51,四川省,31.1269,104.398
5107,绵阳市,51,四川省,31.4675,104.6791
5108,广元市,51,四川省,32.4378,105.8396
5109,遂宁市,51,四川省,30.5328,105.5929
5110,内江市,51,四川省,29.5802,105.0584
5111,乐山市,51,四川省,29.5549,103.7634
5113,南充市,51,四川省,30.8378,106.1107
5114,眉山市,51,四川省,30.0754,103.8485
5115,宜宾市,51,四川省,28.7552,104.641
5116,广安市,51,四川省,30.456,106.6332
5117,达州市,51,四川省,31.2096,107.468
5118,雅安市,51,四川省,29.9805,103.0133
5119,巴中市,51,四川省,31.8701,106.7433
5120,资阳市,51,四川省,30.1289,104.6276
5132,阿坝藏族羌族自治州,51,四川省,31.8994,102.2247
5133,甘孜藏族自治州,51,四川省,30.0495,101.9623
5134,凉山彝族自治州,51,四川省,27.8816,102.2673
5201,贵阳市,52,贵州省,26.6474,106.6301
5202,六盘水市,52,贵州省,26.5927,104.8304
5203,遵义市,52,贵州省,27.7257,106.9274
5204,安顺市,52,贵州省,26.2566,105.9442
5205,毕节市,52,贵州省,27.3026,105.284
5206,铜仁市,52,贵州省,27.7315,109.1896
5223,黔西南布依族苗族自治州,52,贵州省,25.0878,104.9064
5226,黔东南苗族侗族自治州,52,贵州省,26.5836,107.9828
5227,黔南布依族苗族自治州,52,贵州省,26.2541,107.5221
5301,昆明市,53,云南省,24.8802,102.8329
5303,曲靖市,53,云南省,25.49,103.7962
5304,玉溪市,53,云南省,24.3551,102.5453
5305,保山市,53,云南省,25.1121,99.1615
5306,昭通市,53,云南省,27.3383,103.7175
5307,丽江市,53,云南省,26.8586,100.2266
5308,普洱市,53,云南省,22.8251,100.9665
5309,临沧市,53,云南省,23.8776,100.0796
5323,楚雄彝族自治州,53,云南省,25.0455,101.5281
5325,红河哈尼族彝族自治州,53,云南省,23.3631,103.3748
5326,文山壮族苗族自治州,53,云南省,23.4007,104.2162
5328,西双版纳傣族自治州,53,云南省,22.0074,100.7978
5329,大理白族自治州,53,云南省,25.6065,100.2676
5331,德宏傣族景颇族自治州,53,云南省,24.4334,98.5849
5333,怒江傈僳族自治州,53,云南省,25.8525,98.8531
5334,迪庆藏族自治州,53,云南省,27.8189,99.7022
5401,拉萨市,54,西藏自治区,29.6483,91.1393
5421,昌都地区,54,西藏自治区,31.141,97.172
5422,山南地区,54,西藏自治区,29.2371,91.7731
5423,日喀则地区,54,西藏自治区,29.2669,88.8806
5424,那曲地区,54,西藏自治区,31.4762,92.0512
5425,阿里地区,54,西藏自治区,32.5011,80.1058
5426,林芝地区,54,西藏自治区,29.6491,94.3615
6101,西安市,61,陕西省,34.3416,108.9402
6102,铜川市,61,陕西省,34.8978,108.9452
6103,宝鸡市,61,陕西省,34.362,107.238
6104,咸阳市,61,陕西省,34.3296,108.709
6105,渭南市,61,陕西省,34.5,109.5098
6106,延安市,61,陕西省,36.5853,109.4843
6107,汉中市,61,陕西省,33.0675,107.0233
6108,榆林市,61,陕西省,38.2854,109.7346
6109,安康市,61,陕西省,32.6847,109.029
6110,商洛市,61,陕西省,33.8721,109.9355
6201,兰州市,62,甘肃省,36.0613,103.8344
6202,嘉峪关市,62,甘肃省,39.7723,98.2885
6203,金昌市,62,甘肃省,38.5201,102.188
6204,白银市,62,甘肃省,36.5448,104.1376
6205,天水市,62,甘肃省,34.5809,105.7249
6206,武威市,62,甘肃省,37.928,102.6363
6207,张掖市,62,甘肃省,38.9256,100.4498
6208,平凉市,62,甘肃省,35.5427,106.6651
6209,酒泉市,62,甘肃省,35.7387,107.6325
6210,庆阳市,62,甘肃省,35.7391,107.6277
6211,定西市,62,甘肃省,35.5806,104.6263
6212,陇南市,62,甘肃省,33.4008,104.9221
6229,临夏回族自治州,62,甘肃省,35.6012,103.2105
6230,甘南藏族自治州,62,甘肃省,34.9834,102.911
6301,西宁市,63,青海省,36.6172,101.7763
6302,海东地区,63,青海省,36.502,102.1043
6322,海北藏族自治州,63,青海省,36.9544,100.901
6323,黄南藏族自治州,63,青海省,35.5195,102.0152
6325,海南藏族自治州,63,青海省,36.2864,100.6204
6326,果洛藏族自治州,63,青海省,34.4714,100.2448
6327,玉树藏族自治州,63,青海省,33.0117,97.0919
6328,海西蒙古族藏族自治州,63,青海省,37.3771,97.3698
6401,银川市,64,宁夏回族自治区,37.9969,106.1938
6402,石嘴山市,64,宁夏回族自治区,38.9843,106.383
6403,吴忠市,64,宁夏回族自治区,37.9975,106.1982
6404,固原市,64,宁夏回族自治区,36.0159,106.2426
6405,中卫市,64,宁夏回族自治区,37.5169,105.1738
6501,乌鲁木齐市,65,新疆维吾尔自治区,43.8244,87.614
6502,克拉玛依市,65,新疆维吾尔自治区,45.5799,84.8892
6521,吐鲁番地区,65,新疆维吾尔自治区,42.9514,89.1897
6522,哈密地区,65,新疆维吾尔自治区,42.8185,93.5149
6523,昌吉回族自治州,65,新疆维吾尔自治区,44.0112,87.3082
6527,博尔塔拉蒙古自治州,65,新疆维吾尔自治区,44.9056,82.0662
6528,巴音郭楞蒙古自治州,65,新疆维吾尔自治区,41.7641,86.1453
6529,阿克苏地区,65,新疆维吾尔自治区,41.1688,80.2606
6530,克孜勒苏柯尔克孜自治州,65,新疆维吾尔自治区,39.7145,76.1678
6531,喀什地区,65,新疆维吾尔自治区,39.4704,75.9898
6532,和田地区,65,新疆维吾尔自治区,37.1142,79.9222
6540,伊犁哈萨克自治州,65,新疆维吾尔自治区,43.9169,81.3241
6542,塔城地区,65,新疆维吾尔自治区,46.7454,82.9803
6543,阿勒泰地区,65,新疆维吾尔自治区,47.8449,88.1413
